motif,motif_length,support,prevalence,question_coverage,success_present,failure_present,success_rate_present,success_rate_absent,support_difference,lift_overall_success,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,fisher_p_value,fdr_q_value,avg_stage_position,stage_bucket,avg_trace_length_present,noise_cooccurrence_rate,top_neighbor_motifs
action:compute,1,339,0.753333,15,263,76,0.775811,0.306306,0.469505,1.175472,7.737520,4.811388,12.443232,0.00000000,0.00000000,0.482695,middle,14.209440,0.053097,action:apply-formula || action:conclude || action:analyze || action:instantiate || action:rewrite
milestone:key-relation:cleared-fraction strategy:set-subgoal,2,21,0.046667,1,21,0,1.000000,0.643357,0.356643,1.515152,23.871609,1.435989,396.837128,0.00019100,0.00064607,0.442303,middle,14.095238,0.000000,strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:set-subgoal
milestone:key-relation:equation strategy:set-subgoal action:apply-formula,3,25,0.055556,1,25,0,1.000000,0.640000,0.360000,1.515152,28.728440,1.736732,475.216198,0.00003386,0.00018294,0.207055,early,14.040000,0.000000,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:set-subgoal || milestone:reduced-to:one-variable || milestone:key-relation:equation strategy:set-subgoal
milestone:key-relation:equation strategy:set-subgoal,2,25,0.055556,1,25,0,1.000000,0.640000,0.360000,1.515152,28.728440,1.736732,475.216198,0.00003386,0.00018294,0.189637,early,14.040000,0.000000,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:set-subgoal || milestone:reduced-to:one-variable || milestone:key-relation:equation strategy:set-subgoal action:apply-formula
action:apply-formula milestone:key-relation:cleared-fraction,2,25,0.055556,1,25,0,1.000000,0.640000,0.360000,1.515152,28.728440,1.736732,475.216198,0.00003386,0.00018294,0.357341,middle,14.040000,0.000000,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:set-subgoal || milestone:reduced-to:one-variable || milestone:key-relation:equation strategy:set-subgoal action:apply-formula
milestone:key-relation:cleared-fraction,1,25,0.055556,1,25,0,1.000000,0.640000,0.360000,1.515152,28.728440,1.736732,475.216198,0.00003386,0.00018294,0.406874,middle,14.040000,0.000000,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:set-subgoal || milestone:reduced-to:one-variable || milestone:key-relation:equation strategy:set-subgoal action:apply-formula
action:rewrite milestone:reduced-to:one-variable,2,27,0.060000,2,27,0,1.000000,0.638298,0.361702,1.515152,31.210721,1.890448,515.279476,0.00001080,0.00012362,0.628598,middle,13.925926,0.000000,milestone:reduced-to:one-variable || action:rewrite || action:apply-formula || strategy:set-subgoal action:apply-formula || strategy:set-subgoal
strategy:set-subgoal action:rewrite action:compute,3,20,0.044444,2,20,0,1.000000,0.644186,0.355814,1.515152,22.679279,1.362164,377.597528,0.00035114,0.00104337,0.845602,late,14.300000,0.000000,strategy:set-subgoal action:rewrite || strategy:set-subgoal || action:rewrite action:compute || action:rewrite || action:instantiate
strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable,3,24,0.053333,1,24,0,1.000000,0.640845,0.359155,1.515152,27.500914,1.660719,455.405328,0.00006347,0.00026547,0.589281,middle,14.166667,0.000000,strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:set-subgoal || milestone:reduced-to:one-variable
milestone:reduced-to:one-variable strategy:set-subgoal action:rewrite,3,19,0.042222,1,19,0,1.000000,0.645012,0.354988,1.515152,21.495512,1.288872,358.497078,0.00035941,0.00104337,0.754229,late,14.368421,0.000000,strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:rewrite action:compute || strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula
action:rewrite action:compute milestone:derived:solution,3,21,0.046667,1,21,0,1.000000,0.643357,0.356643,1.515152,23.871609,1.435989,396.837128,0.00019100,0.00064607,0.933467,late,14.238095,0.000000,strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:set-subgoal
action:instantiate milestone:key-relation:equation,2,26,0.057778,1,25,1,0.961538,0.641509,0.320029,1.456876,9.513761,1.811443,49.966613,0.00038631,0.00109688,0.101717,early,13.615385,0.038462,milestone:key-relation:equation || action:instantiate || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:set-subgoal
action:apply-formula milestone:key-relation:cleared-fraction strategy:set-subgoal,3,21,0.046667,1,21,0,1.000000,0.643357,0.356643,1.515152,23.871609,1.435989,396.837128,0.00019100,0.00064607,0.391767,middle,14.095238,0.000000,strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:set-subgoal
strategy:choose-representation action:instantiate milestone:key-relation:equation,3,20,0.044444,1,20,0,1.000000,0.644186,0.355814,1.515152,22.679279,1.362164,377.597528,0.00035114,0.00104337,0.020675,early,14.050000,0.000000,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:set-subgoal || strategy:choose-representation action:instantiate || strategy:choose-representation
strategy:choose-representation,1,84,0.186667,7,60,24,0.714286,0.647541,0.066745,1.082251,1.346466,0.803802,2.255493,0.25401434,0.29673147,0.030286,early,13.083333,0.107143,action:compute || action:apply-formula || action:instantiate || action:analyze || action:conclude
action:rewrite milestone:reduced-to:one-variable strategy:set-subgoal,3,22,0.048889,1,22,0,1.000000,0.642523,0.357477,1.515152,25.072595,1.510353,416.217310,0.00010778,0.00040706,0.672873,late,14.272727,0.000000,strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:set-subgoal
action:analyze strategy:choose-representation,2,18,0.040000,4,14,4,0.777778,0.655093,0.122685,1.178451,1.699197,0.579326,4.983841,0.32310456,0.36966963,0.000000,early,13.055556,0.111111,strategy:choose-representation || action:analyze || action:apply-formula || action:instantiate || action:compute
strategy:set-subgoal action:compute,2,21,0.046667,4,13,8,0.619048,0.662005,-0.042957,0.937951,0.812261,0.336525,1.960529,0.81392347,0.85571955,0.298679,early,13.857143,0.000000,strategy:set-subgoal || action:compute || milestone:derived:closed-form || action:instantiate || strategy:set-subgoal action:compute milestone:key-relation:numerator-simplified
action:analyze strategy:choose-representation action:instantiate,3,8,0.017778,3,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.000000,early,15.000000,0.000000,strategy:choose-representation action:instantiate || strategy:choose-representation || action:rewrite || action:instantiate || action:apply-formula
strategy:choose-representation action:analyze action:instantiate,3,18,0.040000,2,17,1,0.944444,0.648148,0.296296,1.430976,6.342840,1.183171,34.003222,0.00909980,0.01552554,0.025377,early,13.111111,0.055556,strategy:choose-representation action:analyze || strategy:choose-representation || action:instantiate || action:analyze action:instantiate || action:analyze
strategy:choose-representation action:analyze,2,31,0.068889,4,22,9,0.709677,0.656325,0.053353,1.075269,1.242239,0.566819,2.722489,0.69491645,0.75933286,0.013478,early,12.838710,0.096774,strategy:choose-representation || action:analyze || action:compute || action:instantiate || action:apply-formula
action:simplify action:rewrite,2,16,0.035556,3,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00418677,0.312335,early,14.750000,0.000000,action:simplify || action:rewrite || action:conclude || action:compute || milestone:derived:closed-form
action:compute milestone:key-relation:area=12,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.904810,late,12.750000,0.000000,strategy:choose-representation || milestone:key-relation:area=12 action:conclude || milestone:key-relation:area=12 || action:conclude || action:compute milestone:key-relation:area=12 action:conclude
milestone:key-relation:area=12 action:conclude,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,1.000000,late,12.750000,0.000000,strategy:choose-representation || milestone:key-relation:area=12 || action:conclude || action:compute milestone:key-relation:area=12 action:conclude || action:compute milestone:key-relation:area=12
action:compute milestone:key-relation:area=12 action:conclude,3,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,1.000000,late,12.750000,0.000000,strategy:choose-representation || milestone:key-relation:area=12 action:conclude || milestone:key-relation:area=12 || action:conclude || action:compute milestone:key-relation:area=12
milestone:key-relation:area=12,1,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.913255,late,12.750000,0.000000,strategy:choose-representation || milestone:key-relation:area=12 action:conclude || action:conclude || action:compute milestone:key-relation:area=12 action:conclude || action:compute milestone:key-relation:area=12
action:apply-formula action:instantiate action:compute,3,12,0.026667,3,7,5,0.583333,0.662100,-0.078767,0.883838,0.697074,0.227911,2.132024,0.55196631,0.61347113,0.504760,middle,16.833333,0.000000,action:instantiate action:compute || action:instantiate || action:compute || action:apply-formula action:instantiate || action:apply-formula
action:compute milestone:key-relation:h=4,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.604187,middle,13.125000,0.000000,strategy:choose-representation || milestone:key-relation:h=4 || action:rewrite || action:conclude || action:compute
action:instantiate action:compute,2,50,0.111111,7,19,31,0.380000,0.695000,-0.315000,0.575758,0.272292,0.148927,0.497848,0.00002359,0.00017651,0.467719,middle,16.240000,0.100000,action:instantiate || action:compute || action:analyze || action:apply-formula || action:conclude
milestone:key-relation:h=4 action:apply-formula,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.692112,late,13.000000,0.000000,strategy:choose-representation || milestone:key-relation:h=4 || action:rewrite || action:conclude || action:compute
milestone:key-relation:h=4,1,9,0.020000,1,9,0,1.000000,0.653061,0.346939,1.515152,10.109185,0.584408,174.870316,0.03153493,0.04365511,0.631555,middle,13.111111,0.000000,strategy:choose-representation || action:rewrite || action:conclude || action:compute || action:apply-formula
action:apply-formula action:instantiate,2,20,0.044444,5,10,10,0.500000,0.667442,-0.167442,0.757576,0.499130,0.207329,1.201621,0.14784166,0.17533660,0.373987,middle,16.250000,0.150000,action:instantiate || action:apply-formula || action:compute || action:analyze || action:conclude
action:analyze action:instantiate action:compute,3,12,0.026667,5,5,7,0.416667,0.666667,-0.250000,0.631313,0.367293,0.120074,1.123511,0.11756633,0.14071786,0.165008,early,14.083333,0.250000,action:instantiate action:compute || action:instantiate || action:compute || action:analyze action:instantiate || action:analyze
strategy:choose-representation action:apply-formula,2,16,0.035556,2,5,11,0.312500,0.672811,-0.360311,0.473485,0.232999,0.082712,0.656358,0.00528030,0.01001968,0.043182,early,11.062500,0.187500,strategy:choose-representation || action:apply-formula || action:compute || milestone:derived:power-terms || milestone:derived:coefficient
action:compute action:rewrite,2,21,0.046667,6,14,7,0.666667,0.659674,0.006993,1.010101,0.999059,0.404631,2.466740,1.00000000,1.00000000,0.386656,middle,14.714286,0.190476,action:rewrite || action:compute || action:conclude || action:analyze || action:instantiate
action:compute action:rewrite action:compute,3,10,0.022222,4,7,3,0.700000,0.659091,0.040909,1.060606,1.110155,0.307443,4.008685,1.00000000,1.00000000,0.451453,middle,14.400000,0.200000,action:rewrite action:compute || action:rewrite || action:compute action:rewrite || action:compute || action:instantiate
action:apply-formula action:compute action:rewrite,3,8,0.017778,3,5,3,0.625000,0.660633,-0.035633,0.946970,0.808547,0.208662,3.133048,1.00000000,1.00000000,0.316667,early,13.875000,0.375000,action:rewrite || action:compute action:rewrite || action:compute || action:apply-formula action:compute || action:apply-formula
action:compute action:instantiate,2,13,0.028889,4,1,12,0.076923,0.677346,-0.600422,0.116550,0.057268,0.010405,0.315190,0.00001624,0.00014327,0.309871,early,25.076923,0.000000,action:instantiate || action:compute || action:analyze || action:instantiate action:compute || action:conclude
action:instantiate action:compute action:instantiate,3,11,0.024444,3,1,10,0.090909,0.674260,-0.583351,0.137741,0.069140,0.012351,0.387042,0.00013103,0.00049010,0.229986,early,25.272727,0.000000,action:instantiate action:compute || action:instantiate || action:compute action:instantiate || action:compute || action:analyze
action:rewrite action:simplify,2,11,0.024444,4,6,5,0.545455,0.662870,-0.117416,0.826446,0.602058,0.190135,1.906407,0.52096263,0.58067181,0.599757,middle,15.636364,0.090909,action:simplify || action:rewrite || action:apply-formula || action:conclude || action:analyze
action:compute action:apply-formula,2,9,0.020000,4,2,7,0.222222,0.668934,-0.446712,0.336700,0.165257,0.038958,0.701007,0.00874680,0.01512225,0.580370,middle,16.333333,0.222222,action:instantiate || action:compute || action:apply-formula || action:analyze || action:apply-formula action:compute
milestone:key-relation:numerator-simplified,1,26,0.057778,1,26,0,1.000000,0.639151,0.360849,1.515152,29.965009,1.813307,495.173716,0.00001878,0.00014327,0.359104,middle,10.307692,0.000000,milestone:key-relation:denominator-simplified || milestone:final-result || action:compute milestone:key-relation:numerator-simplified || action:compute milestone:key-relation:denominator-simplified || action:compute
action:compute milestone:final-result,2,21,0.046667,1,21,0,1.000000,0.643357,0.356643,1.515152,23.871609,1.435989,396.837128,0.00019100,0.00064607,0.985979,late,10.380952,0.000000,strategy:plan-stepwise || milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified || milestone:final-result || action:compute milestone:key-relation:numerator-simplified
strategy:set-subgoal action:compute milestone:key-relation:denominator-simplified,3,9,0.020000,1,9,0,1.000000,0.653061,0.346939,1.515152,10.109185,0.584408,174.870316,0.03153493,0.04365511,0.384512,middle,12.888889,0.000000,strategy:set-subgoal action:compute milestone:key-relation:numerator-simplified || strategy:set-subgoal action:compute || strategy:set-subgoal || strategy:plan-stepwise strategy:set-subgoal || strategy:plan-stepwise
strategy:plan-stepwise,1,27,0.060000,1,25,2,0.925926,0.643026,0.282900,1.402918,5.670826,1.523908,21.102504,0.00147735,0.00350669,0.000000,early,9.703704,0.074074,action:compute || milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified || milestone:final-result || action:compute milestone:key-relation:numerator-simplified
action:compute milestone:key-relation:denominator-simplified,2,27,0.060000,1,26,1,0.962963,0.640662,0.322301,1.459035,9.923266,1.892626,52.028873,0.00021938,0.00072322,0.445145,middle,10.222222,0.037037,milestone:key-relation:denominator-simplified || action:compute || milestone:key-relation:numerator-simplified || milestone:final-result || action:compute milestone:key-relation:numerator-simplified
strategy:set-subgoal action:compute milestone:key-relation:numerator-simplified,3,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02760544,0.258561,early,12.700000,0.000000,strategy:set-subgoal action:compute || strategy:set-subgoal || strategy:plan-stepwise strategy:set-subgoal || strategy:plan-stepwise || milestone:key-relation:numerator-simplified
strategy:plan-stepwise strategy:set-subgoal,2,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02760544,0.000000,early,12.700000,0.000000,strategy:set-subgoal action:compute milestone:key-relation:numerator-simplified || strategy:set-subgoal action:compute || strategy:set-subgoal || strategy:plan-stepwise || milestone:key-relation:numerator-simplified
action:compute milestone:key-relation:numerator-simplified,2,26,0.057778,1,26,0,1.000000,0.639151,0.360849,1.515152,29.965009,1.813307,495.173716,0.00001878,0.00014327,0.273590,early,10.307692,0.000000,milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified || milestone:final-result || action:compute milestone:key-relation:denominator-simplified || action:compute
milestone:final-result,1,26,0.057778,1,26,0,1.000000,0.639151,0.360849,1.515152,29.965009,1.813307,495.173716,0.00001878,0.00014327,0.985853,late,10.307692,0.000000,milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified || action:compute milestone:key-relation:numerator-simplified || action:compute milestone:key-relation:denominator-simplified || action:compute
milestone:derived:closed-form action:compute,2,47,0.104444,5,31,16,0.659574,0.660050,-0.000475,0.999355,0.984991,0.524501,1.849772,1.00000000,1.00000000,0.852193,late,15.893617,0.042553,milestone:derived:closed-form || action:compute || action:rewrite || action:conclude || action:simplify
milestone:key-relation:denominator-simplified,1,27,0.060000,1,26,1,0.962963,0.640662,0.322301,1.459035,9.923266,1.892626,52.028873,0.00021938,0.00072322,0.507923,middle,10.222222,0.037037,action:compute milestone:key-relation:denominator-simplified || action:compute || milestone:key-relation:numerator-simplified || milestone:final-result || action:compute milestone:key-relation:numerator-simplified
strategy:plan-stepwise action:compute milestone:key-relation:numerator-simplified,3,9,0.020000,1,9,0,1.000000,0.653061,0.346939,1.515152,10.109185,0.584408,174.870316,0.03153493,0.04365511,0.000000,early,7.777778,0.000000,strategy:plan-stepwise action:compute || strategy:plan-stepwise || milestone:key-relation:numerator-simplified action:compute milestone:key-relation:denominator-simplified || milestone:key-relation:numerator-simplified action:compute || milestone:key-relation:numerator-simplified
strategy:plan-stepwise action:compute,2,12,0.026667,1,11,1,0.916667,0.652968,0.263699,1.388889,4.080861,0.736017,22.626416,0.06676503,0.08218860,0.000000,early,7.666667,0.083333,strategy:plan-stepwise || action:compute || milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified || milestone:final-result
action:compute milestone:key-relation:denominator-simplified action:instantiate,3,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.522569,middle,10.875000,0.000000,milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified action:instantiate || milestone:key-relation:denominator-simplified || milestone:final-result || milestone:derived:closed-form
milestone:key-relation:numerator-simplified action:compute milestone:key-relation:denominator-simplified,3,12,0.026667,1,12,0,1.000000,0.650685,0.349315,1.515152,13.441331,0.790400,228.579760,0.01034625,0.01676955,0.443552,middle,8.250000,0.000000,strategy:plan-stepwise || milestone:key-relation:numerator-simplified action:compute || milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified || milestone:final-result
action:instantiate milestone:derived:closed-form,2,15,0.033333,3,12,3,0.800000,0.655172,0.144828,1.212121,1.882662,0.566125,6.260841,0.28364895,0.32726683,0.715914,late,11.666667,0.000000,milestone:derived:closed-form || action:instantiate || action:compute || strategy:plan-stepwise || milestone:key-relation:numerator-simplified
milestone:key-relation:numerator-simplified action:compute,2,12,0.026667,1,12,0,1.000000,0.650685,0.349315,1.515152,13.441331,0.790400,228.579760,0.01034625,0.01676955,0.367560,middle,8.250000,0.000000,strategy:plan-stepwise || milestone:key-relation:numerator-simplified action:compute milestone:key-relation:denominator-simplified || milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified || milestone:final-result
action:compute milestone:key-relation:numerator-simplified action:compute,3,12,0.026667,1,12,0,1.000000,0.650685,0.349315,1.515152,13.441331,0.790400,228.579760,0.01034625,0.01676955,0.241270,early,8.250000,0.000000,strategy:plan-stepwise || milestone:key-relation:numerator-simplified action:compute milestone:key-relation:denominator-simplified || milestone:key-relation:numerator-simplified action:compute || milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified
milestone:key-relation:denominator-simplified action:instantiate,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.577458,middle,10.875000,0.000000,milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified || milestone:final-result || milestone:derived:closed-form || action:instantiate
action:instantiate milestone:derived:closed-form action:compute,3,9,0.020000,3,6,3,0.666667,0.659864,0.006803,1.010101,0.958834,0.257609,3.568829,1.00000000,1.00000000,0.843519,late,11.444444,0.000000,milestone:derived:closed-form action:compute || milestone:derived:closed-form || action:instantiate milestone:derived:closed-form || action:instantiate || action:compute
milestone:key-relation:numerator-simplified strategy:set-subgoal,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.393750,middle,12.750000,0.000000,strategy:set-subgoal action:compute milestone:key-relation:numerator-simplified || strategy:set-subgoal action:compute milestone:key-relation:denominator-simplified || strategy:set-subgoal action:compute || strategy:set-subgoal || strategy:plan-stepwise strategy:set-subgoal action:compute
action:compute milestone:key-relation:numerator-simplified strategy:set-subgoal,3,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.331061,early,12.750000,0.000000,strategy:set-subgoal action:compute milestone:key-relation:numerator-simplified || strategy:set-subgoal action:compute milestone:key-relation:denominator-simplified || strategy:set-subgoal action:compute || strategy:set-subgoal || strategy:plan-stepwise strategy:set-subgoal action:compute
strategy:set-subgoal action:instantiate,2,8,0.017778,3,5,3,0.625000,0.660633,-0.035633,0.946970,0.808547,0.208662,3.133048,1.00000000,1.00000000,0.571402,middle,13.625000,0.125000,strategy:set-subgoal || action:instantiate || strategy:set-subgoal action:compute || action:compute || strategy:set-subgoal action:compute milestone:key-relation:numerator-simplified
strategy:plan-stepwise strategy:set-subgoal action:compute,3,9,0.020000,1,9,0,1.000000,0.653061,0.346939,1.515152,10.109185,0.584408,174.870316,0.03153493,0.04365511,0.000000,early,12.555556,0.000000,strategy:set-subgoal action:compute milestone:key-relation:numerator-simplified || strategy:set-subgoal action:compute || strategy:set-subgoal || strategy:plan-stepwise strategy:set-subgoal || strategy:plan-stepwise
action:compute milestone:key-relation:denominator-simplified action:compute,3,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02760544,0.605952,middle,7.800000,0.000000,strategy:plan-stepwise || milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified action:compute || milestone:key-relation:denominator-simplified || milestone:final-result
milestone:key-relation:denominator-simplified action:compute,2,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02760544,0.670238,late,7.800000,0.000000,strategy:plan-stepwise || milestone:key-relation:numerator-simplified || milestone:key-relation:denominator-simplified || milestone:final-result || action:compute milestone:key-relation:numerator-simplified
milestone:derived:closed-form strategy:set-subgoal,2,8,0.017778,3,3,5,0.375000,0.665158,-0.290158,0.568182,0.320883,0.082803,1.243509,0.12784521,0.15208497,0.814095,late,15.125000,0.000000,strategy:set-subgoal action:compute || strategy:set-subgoal || milestone:derived:closed-form || action:compute || action:instantiate
strategy:common-denominator action:compute,2,20,0.044444,1,20,0,1.000000,0.644186,0.355814,1.515152,22.679279,1.362164,377.597528,0.00035114,0.00104337,0.566401,middle,16.650000,0.000000,strategy:common-denominator || milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms || milestone:derived:closed-form || action:rewrite
action:combine,1,47,0.104444,2,47,0,1.000000,0.620347,0.379653,1.515152,58.213573,3.562548,951.234870,0.00000000,0.00000003,0.221411,early,18.468085,0.000000,action:compute || strategy:common-denominator || action:conclude || milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms
milestone:key-relation:rationalized-terms,1,21,0.046667,1,21,0,1.000000,0.643357,0.356643,1.515152,23.871609,1.435989,396.837128,0.00019100,0.00064607,0.164197,early,16.476190,0.000000,strategy:common-denominator || milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms || milestone:derived:closed-form || action:compute
milestone:key-relation:combined-like-terms,1,26,0.057778,1,26,0,1.000000,0.639151,0.360849,1.515152,29.965009,1.813307,495.173716,0.00001878,0.00014327,0.391105,middle,16.307692,0.000000,milestone:reduced-to:single-fraction || milestone:derived:closed-form || action:compute || action:combine milestone:key-relation:combined-like-terms || action:combine
strategy:common-denominator,1,43,0.095556,2,43,0,1.000000,0.624079,0.375921,1.515152,52.473477,3.207134,858.543983,0.00000001,0.00000016,0.299775,early,18.325581,0.000000,action:compute || action:combine || action:conclude || milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms
milestone:derived:closed-form action:compute milestone:computed:sum-abc,3,20,0.044444,1,20,0,1.000000,0.644186,0.355814,1.515152,22.679279,1.362164,377.597528,0.00035114,0.00104337,0.930614,late,16.750000,0.000000,milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms || milestone:derived:closed-form action:compute || milestone:derived:closed-form || milestone:computed:sum-abc
action:combine milestone:key-relation:combined-like-terms,2,26,0.057778,1,26,0,1.000000,0.639151,0.360849,1.515152,29.965009,1.813307,495.173716,0.00001878,0.00014327,0.348208,middle,16.307692,0.000000,milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms || milestone:derived:closed-form || action:compute || action:combine
strategy:target-form-subgoal,1,16,0.035556,1,13,3,0.812500,0.654378,0.158122,1.231061,2.040422,0.619414,6.721383,0.28280365,0.32726683,0.019853,early,13.437500,0.187500,milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms || milestone:derived:closed-form || milestone:computed:sum-abc || action:compute
action:compute milestone:computed:sum-abc,2,23,0.051111,1,23,0,1.000000,0.641686,0.358314,1.515152,26.282332,1.585261,435.739543,0.00006291,0.00026547,0.937747,late,16.695652,0.000000,milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms || milestone:derived:closed-form || milestone:computed:sum-abc || action:compute
milestone:reduced-to:single-fraction,1,26,0.057778,1,26,0,1.000000,0.639151,0.360849,1.515152,29.965009,1.813307,495.173716,0.00001878,0.00014327,0.723538,late,16.307692,0.000000,milestone:key-relation:combined-like-terms || milestone:derived:closed-form || action:compute || action:combine milestone:key-relation:combined-like-terms || action:combine
action:rewrite action:combine,2,15,0.033333,1,15,0,1.000000,0.648276,0.351724,1.515152,16.844248,1.000949,283.459625,0.00357773,0.00685584,0.315337,early,16.600000,0.000000,milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms || milestone:derived:closed-form || milestone:computed:sum-abc || action:rewrite
strategy:target-form-subgoal action:simplify,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.042411,early,15.625000,0.000000,strategy:target-form-subgoal || milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms || milestone:derived:closed-form || milestone:computed:sum-abc
milestone:computed:sum-abc action:conclude,2,23,0.051111,1,23,0,1.000000,0.641686,0.358314,1.515152,26.282332,1.585261,435.739543,0.00006291,0.00026547,1.000000,late,16.478261,0.000000,milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms || milestone:derived:closed-form || milestone:computed:sum-abc || action:conclude
action:combine milestone:reduced-to:single-fraction,2,24,0.053333,1,24,0,1.000000,0.640845,0.359155,1.515152,27.500914,1.660719,455.405328,0.00006347,0.00026547,0.700836,late,16.375000,0.000000,milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms || milestone:derived:closed-form || action:compute || action:combine milestone:key-relation:combined-like-terms
action:compute milestone:computed:sum-abc action:conclude,3,21,0.046667,1,21,0,1.000000,0.643357,0.356643,1.515152,23.871609,1.435989,396.837128,0.00019100,0.00064607,1.000000,late,16.809524,0.000000,milestone:reduced-to:single-fraction || milestone:key-relation:combined-like-terms || milestone:derived:closed-form || milestone:computed:sum-abc action:conclude || milestone:computed:sum-abc
